City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,salinopolis,-0.6136,-47.3561,30.09,63,94,5.13,BR,1724598920
275,kota,25.1833,75.8333,25.71,92,97,3.62,IN,1724598921
276,severo-yeniseyskiy,60.3725,93.0408,11.97,98,53,1.73,RU,1724598922
277,ujae,8.9322,165.7642,27.56,80,100,4.1,MH,1724598923
278,vila velha,-20.3297,-40.2925,26.97,67,20,2.06,BR,1724598814
279,vilyuchinsk,52.9306,158.4028,11.73,88,100,4.24,RU,1724598927
280,ennis,52.8436,-8.9864,15.96,72,75,9.77,IE,1724598928
281,brookings,44.3114,-96.7984,24.0,97,100,4.63,US,1724598888
282,kavala,40.9397,24.4019,27.31,65,20,4.12,GR,1724598930
283,sisimiut,66.9395,-53.6735,6.23,71,90,3.72,GL,1724598435
284,nabire,-3.3667,135.4833,24.32,94,100,1.57,ID,1724598932
285,sokoto,13.0609,5.239,33.65,47,77,5.16,NG,1724598933
286,aleksandrovsk-sakhalinskiy,50.8975,142.1561,13.69,87,100,2.87,RU,1724598934
287,vernon,50.2581,-119.2691,15.25,83,59,1.54,CA,1724598935
288,as sulayyil,20.4607,45.5779,38.95,18,81,6.59,SA,1724598936
289,nar'yan-mar,67.6713,53.087,14.73,82,67,3.88,RU,1724598937
290,presidente epitacio,-21.7633,-52.1156,14.14,40,100,4.8,BR,1724598938
291,bilibino,68.0546,166.4372,5.85,80,100,0.76,RU,1724598432
292,san agustin de valle fertil,-30.6335,-67.4682,10.36,33,0,3.95,AR,1724598940
293,nuuk,64.1835,-51.7216,4.34,93,75,4.63,GL,1724598942
294,altusried,47.8,10.2167,16.0,90,100,1.34,DE,1724598943
295,morelia,19.7008,-101.1844,17.52,88,9,1.5,MX,1724598944
296,i-n-salah,27.1935,2.4607,43.03,10,0,7.23,DZ,1724598945
297,riohacha,11.5444,-72.9072,31.45,61,99,2.71,CO,1724598946
298,tralee,52.2704,-9.7026,18.14,72,40,10.8,IE,1724598947
299,playa vicente,17.8333,-95.8167,26.3,84,4,2.28,MX,1724598949
300,la passe,45.5549,-0.8967,21.06,43,1,7.14,FR,1724598950
301,jianguang,28.1938,115.7836,29.33,72,4,0.8,CN,1724598951
302,nemuro,43.3236,145.575,15.6,83,100,4.29,JP,1724598952
303,fisterra,42.9049,-9.2629,19.39,65,7,11.43,ES,1724598953
304,mstsislaw,54.0192,31.7257,26.5,50,0,1.55,BY,1724598954
305,valparaiso,-33.0393,-71.6273,18.04,62,0,3.09,CL,1724598908
306,conde,-7.2597,-34.9075,27.7,65,40,8.23,BR,1724598831
307,carrigaline,51.8117,-8.3986,17.01,77,75,7.72,IE,1724598957
308,kihoku-cho,33.2559,132.6834,23.63,95,16,1.86,JP,1724598959
309,newnham,-41.3833,147.1333,10.53,93,75,6.17,AU,1724598960
310,mukalla,14.5425,49.1242,33.16,48,32,10.63,YE,1724598961
311,ebon,4.582,168.6964,28.02,73,100,1.31,MH,1724598962
312,mansa,29.9833,75.3833,30.77,65,62,3.0,IN,1724598963
313,ovalle,-30.5983,-71.2003,21.69,20,3,1.5,CL,1724598889
314,boa vista,2.8197,-60.6733,30.99,62,20,2.06,BR,1724598965
315,obo,5.3998,26.4869,24.5,83,85,1.83,CF,1724598966
316,rancho palos verdes,33.7445,-118.387,20.66,86,20,0.89,US,1724598674
317,corner brook,48.9667,-57.9484,26.44,42,6,4.38,CA,1724598503
318,adrian,41.8975,-84.0372,28.1,75,75,0.0,US,1724598675
319,lodwar,3.1191,35.5973,32.27,32,24,6.38,KE,1724598927
320,hays,30.0502,-98.0336,29.61,77,6,3.25,US,1724598971
321,arawa,-6.2132,155.5367,24.59,93,88,2.51,PG,1724598972
